motif_id	tf_name	tf_class	tf_family	tf_subfamily
AHR_AHR_HUMAN.H11MO.0.B	AHR	basic helix-loop-helix (bHLH)	PAS domain factors	Ahr-like factors
AIRE_AIRE_HUMAN.H11MO.0.C	AIRE	SAND domain factors	AIRE	AIRE
ALX1_ALX1_HUMAN.H11MO.0.B	ALX1	homeo domain factors	paired-related HD factors	ALX
ANDR_ANDR_HUMAN.H11MO.0.A	ANDR	nuclear receptors with C4 zinc fingers	steroid hormone receptors (NR3)	GR-like receptors (NR3C)
AP2A_AP2A_HUMAN.H11MO.0.A	AP2A	basic helix-span-helix (bHSH) factors	AP2	N/A
AP2B_AP2B_HUMAN.H11MO.0.B	AP2B	basic helix-span-helix (bHSH) factors	AP2	N/A
AP2C_AP2C_HUMAN.H11MO.0.A	AP2C	basic helix-span-helix (bHSH) factors	AP2	N/A
ARI5B_ARI5B_HUMAN.H11MO.0.C	ARI5B	ARID domain factors	ARID-related factors	ARID5
ARNT_ARNT_HUMAN.H11MO.0.B	ARNT	basic helix-loop-helix (bHLH) factors	PAS domain factors	Arnt-like factors
ASCL1_ASCL1_HUMAN.H11MO.0.A	ASCL1	basic helix-loop-helix (bHLH) factors	MyoD/ASC-related factors	Achaete-Scute-like factors
ASCL1_M08055_2.00	ASCL1	basic helix-loop-helix (bHLH) factors	MyoD/ASC-related factors	Achaete-Scute-like factors
ASCL1_MA1631.1	ASCL1	basic helix-loop-helix (bHLH) factors	MyoD/ASC-related factors	Achaete-Scute-like factors
ATF1_ATF1_HUMAN.H11MO.0.B	ATF1	basic leucine zipper (bZIP) factors	CREB-related factors	CREB-like factors
ATF2_ATF2_HUMAN.H11MO.0.B	ATF2	basic leucine zipper (bZIP) factors	Jun-related factors	ATF-2-like factors
ATF2_MA1632.1	ATF2	basic leucine zipper (bZIP) factors	Jun-related factors	ATF-2-like factors
ATF3_ATF3_HUMAN.H11MO.0.A	ATF3	basic leucine zipper (bZIP) factors	Fos-related factors	ATF-3-like factors
ATF3_M07822_2.00	ATF3	basic leucine zipper (bZIP) factors	Fos-related factors	ATF-3-like factors
ATF3_M07823_2.00	ATF3	basic leucine zipper (bZIP) factors	Fos-related factors	ATF-3-like factors
ATF3_M07824_2.00	ATF3	basic leucine zipper (bZIP) factors	Fos-related factors	ATF-3-like factors
ATF3_M07825_2.00	ATF3	basic leucine zipper (bZIP) factors	Fos-related factors	ATF-3-like factors
