AHR_AHR_HUMAN.H11MO.0.B	AHR
AIRE_AIRE_HUMAN.H11MO.0.C	AIRE
ALX1_ALX1_HUMAN.H11MO.0.B	ALX1
ANDR_ANDR_HUMAN.H11MO.0.A	ANDR
AP2A_AP2A_HUMAN.H11MO.0.A	AP2A
AP2B_AP2B_HUMAN.H11MO.0.B	AP2B
AP2C_AP2C_HUMAN.H11MO.0.A	AP2C
ARI5B_ARI5B_HUMAN.H11MO.0.C	ARI5B
ARNT_ARNT_HUMAN.H11MO.0.B	ARNT
ASCL1_ASCL1_HUMAN.H11MO.0.A	ASCL1
ASCL1_M08055_2.00	ASCL1
ASCL1_MA1631.1	ASCL1
ATF1_ATF1_HUMAN.H11MO.0.B	ATF1
ATF2_ATF2_HUMAN.H11MO.0.B	ATF2
ATF2_MA1632.1	ATF2
ATF3_ATF3_HUMAN.H11MO.0.A	ATF3
ATF3_M07822_2.00	ATF3
ATF3_M07823_2.00	ATF3
ATF3_M07824_2.00	ATF3
ATF3_M07825_2.00	ATF3
ATF3_M08187_2.00	ATF3
ATF3_M08188_2.00	ATF3
ATF4_ATF4_HUMAN.H11MO.0.A	ATF4
ATF4_MA0833.2	ATF4
ATF6A_ATF6A_HUMAN.H11MO.0.B	ATF6A
ATOH1_ATOH1_HUMAN.H11MO.0.B	ATOH1
BACH1_BACH1_HUMAN.H11MO.0.A	BACH1
BACH1_M08184_2.00	BACH1
BACH1_M08185_2.00	BACH1
BACH1_M08186_2.00	BACH1
BACH2_BACH2_HUMAN.H11MO.0.A	BACH2
BACH2_M08065_2.00	BACH2
BATF_BATF_HUMAN.H11MO.0.A	BATF
BATF_M07821_2.00	BATF
BATF_MA1634.1	BATF
BATF3_BATF3_HUMAN.H11MO.0.B	BATF3
BATF3_MA0835.2	BATF3
BATFJUN_MA0462.2	BATFJUN
BC11A_BC11A_HUMAN.H11MO.0.A	BC11A
BCL11A_M07926_2.00	BCL11A
BCL6_BCL6_HUMAN.H11MO.0.A	BCL6
BHA15_BHA15_HUMAN.H11MO.0.B	BHA15
BHE40_BHE40_HUMAN.H11MO.0.A	BHE40
BHLHE22_MA1635.1	BHLHE22
BHLHE40_M07798_2.00	BHLHE40
BMAL1_BMAL1_HUMAN.H11MO.0.A	BMAL1
BRAC_BRAC_HUMAN.H11MO.0.A	BRAC
CDX1_CDX1_HUMAN.H11MO.0.C	CDX1
CDX2_CDX2_HUMAN.H11MO.0.A	CDX2
CDX2_M08131_2.00	CDX2
CDX2_MA0465.2	CDX2
CEBPA_CEBPA_HUMAN.H11MO.0.A	CEBPA
CEBPA_M08076_2.00	CEBPA
CEBPA_MA0102.4	CEBPA
CEBPB_CEBPB_HUMAN.H11MO.0.A	CEBPB
CEBPB_M07830_2.00	CEBPB
CEBPB_M07831_2.00	CEBPB
CEBPB_M07832_2.00	CEBPB
CEBPD_CEBPD_HUMAN.H11MO.0.C	CEBPD
CEBPD_MA0836.2	CEBPD
CEBPE_CEBPE_HUMAN.H11MO.0.A	CEBPE
CEBPG_CEBPG_HUMAN.H11MO.0.B	CEBPG
CEBPG_MA1636.1	CEBPG
CLOCK_CLOCK_HUMAN.H11MO.0.C	CLOCK
COE1_COE1_HUMAN.H11MO.0.A	COE1
COT1_COT1_HUMAN.H11MO.0.C	COT1
COT2_COT2_HUMAN.H11MO.0.A	COT2
CREB1_CREB1_HUMAN.H11MO.0.A	CREB1
CREB1_M08066_2.00	CREB1
CREB1_MA0018.4	CREB1
CREM_CREM_HUMAN.H11MO.0.C	CREM
CREM_MA0609.2	CREM
CRX_CRX_HUMAN.H11MO.0.B	CRX
CTCF_CTCF_HUMAN.H11MO.0.A	CTCF
CTCF_M07862_2.00	CTCF
CTCF_M07863_2.00	CTCF
CTCF_M07864_2.00	CTCF
CTCF_M07865_2.00	CTCF
CTCF_M07866_2.00	CTCF
CTCF_M07867_2.00	CTCF
CTCF_M07868_2.00	CTCF
CTCF_M07869_2.00	CTCF
CTCF_M07870_2.00	CTCF
CTCF_M07871_2.00	CTCF
CTCF_M07872_2.00	CTCF
CTCF_M07873_2.00	CTCF
CTCF_M07874_2.00	CTCF
CTCF_M07875_2.00	CTCF
CTCF_M07876_2.00	CTCF
CTCF_M07877_2.00	CTCF
CTCF_M07878_2.00	CTCF
CTCF_M07879_2.00	CTCF
CTCF_M07880_2.00	CTCF
CTCF_M07881_2.00	CTCF
CTCF_M07882_2.00	CTCF
CTCF_M07883_2.00	CTCF
CTCF_M07884_2.00	CTCF
CTCF_M07885_2.00	CTCF
CTCF_M07886_2.00	CTCF
CTCF_M07887_2.00	CTCF
CTCF_M07888_2.00	CTCF
CTCF_M07889_2.00	CTCF
CTCF_M07890_2.00	CTCF
CTCF_M07891_2.00	CTCF
CTCF_M07892_2.00	CTCF
CTCF_M07893_2.00	CTCF
CTCF_M07894_2.00	CTCF
CTCF_M07895_2.00	CTCF
CTCF_M07896_2.00	CTCF
CTCF_M07897_2.00	CTCF
CTCF_M07898_2.00	CTCF
CTCF_M07899_2.00	CTCF
CTCF_M07900_2.00	CTCF
CTCF_M07901_2.00	CTCF
CTCF_M07902_2.00	CTCF
CTCF_M07903_2.00	CTCF
CTCF_M07904_2.00	CTCF
CTCF_M07905_2.00	CTCF
CTCF_M07906_2.00	CTCF
CTCF_M07907_2.00	CTCF
CTCF_M07908_2.00	CTCF
CTCF_M07909_2.00	CTCF
CTCF_M07910_2.00	CTCF
CTCF_M07911_2.00	CTCF
CTCF_M07912_2.00	CTCF
CTCF_M07913_2.00	CTCF
CTCF_M07914_2.00	CTCF
CTCF_M07915_2.00	CTCF
CTCF_M07916_2.00	CTCF
CTCF_M07917_2.00	CTCF
CTCF_M07918_2.00	CTCF
CTCF_M07919_2.00	CTCF
CTCF_M07920_2.00	CTCF
CTCF_M07921_2.00	CTCF
CTCF_M07922_2.00	CTCF
CTCF_M07923_2.00	CTCF
CTCF_M07924_2.00	CTCF
CTCF_M07925_2.00	CTCF
CTCF_M08087_2.00	CTCF
CTCF_M08238_2.00	CTCF
CTCF_M08289_2.00	CTCF
CTCF_MA0139.1	CTCF
CTCF_MA1929.1	CTCF
CTCF_MA1930.1	CTCF
CTCFL_CTCFL_HUMAN.H11MO.0.A	CTCFL
CTCFL_M07930_2.00	CTCFL
CTCFL_M08089_2.00	CTCFL
CTCFL_MA1102.2	CTCFL
CUX1_CUX1_HUMAN.H11MO.0.C	CUX1
DBP_DBP_HUMAN.H11MO.0.B	DBP
DLX3_DLX3_HUMAN.H11MO.0.C	DLX3
DUX4_DUX4_HUMAN.H11MO.0.A	DUX4
DUX4_M08135_2.00	DUX4
DUX4_MA0468.1	DUX4
E2F1_E2F1_HUMAN.H11MO.0.A	E2F1
E2F1_M07938_2.00	E2F1
E2F2_E2F2_HUMAN.H11MO.0.B	E2F2
