AHR_HUMAN.H11MO.0.B	AHR
AIRE_HUMAN.H11MO.0.C	AIRE
ALX1_HUMAN.H11MO.0.B	ALX1
ANDR_HUMAN.H11MO.0.A	ANDR
AP2A_HUMAN.H11MO.0.A	AP2A
AP2B_HUMAN.H11MO.0.B	AP2B
AP2C_HUMAN.H11MO.0.A	AP2C
ARI5B_HUMAN.H11MO.0.C	ARI5B
ARNT_HUMAN.H11MO.0.B	ARNT
ASCL1_HUMAN.H11MO.0.A	ASCL1
M08055_2.00	ASCL1
MA1631.1	ASCL1
ATF1_HUMAN.H11MO.0.B	ATF1
ATF2_HUMAN.H11MO.0.B	ATF2
MA1632.1	ATF2
ATF3_HUMAN.H11MO.0.A	ATF3
M07822_2.00	ATF3
M07823_2.00	ATF3
M07824_2.00	ATF3
M07825_2.00	ATF3
M08187_2.00	ATF3
M08188_2.00	ATF3
ATF4_HUMAN.H11MO.0.A	ATF4
MA0833.2	ATF4
ATF6A_HUMAN.H11MO.0.B	ATF6A
ATOH1_HUMAN.H11MO.0.B	ATOH1
BACH1_HUMAN.H11MO.0.A	BACH1
M08184_2.00	BACH1
M08185_2.00	BACH1
M08186_2.00	BACH1
BACH2_HUMAN.H11MO.0.A	BACH2
M08065_2.00	BACH2
BATF_HUMAN.H11MO.0.A	BATF
M07821_2.00	BATF
MA1634.1	BATF
BATF3_HUMAN.H11MO.0.B	BATF3
MA0835.2	BATF3
MA0462.2	BATF::JUN
BC11A_HUMAN.H11MO.0.A	BC11A
M07926_2.00	BCL11A
BCL6_HUMAN.H11MO.0.A	BCL6
BHA15_HUMAN.H11MO.0.B	BHA15
BHE40_HUMAN.H11MO.0.A	BHE40
MA1635.1	BHLHE22
M07798_2.00	BHLHE40
BMAL1_HUMAN.H11MO.0.A	BMAL1
BRAC_HUMAN.H11MO.0.A	BRAC
CDX1_HUMAN.H11MO.0.C	CDX1
CDX2_HUMAN.H11MO.0.A	CDX2
M08131_2.00	CDX2
MA0465.2	CDX2
CEBPA_HUMAN.H11MO.0.A	CEBPA
M08076_2.00	CEBPA
MA0102.4	CEBPA
CEBPB_HUMAN.H11MO.0.A	CEBPB
M07830_2.00	CEBPB
M07831_2.00	CEBPB
M07832_2.00	CEBPB
CEBPD_HUMAN.H11MO.0.C	CEBPD
MA0836.2	CEBPD
CEBPE_HUMAN.H11MO.0.A	CEBPE
CEBPG_HUMAN.H11MO.0.B	CEBPG
MA1636.1	CEBPG
CLOCK_HUMAN.H11MO.0.C	CLOCK
COE1_HUMAN.H11MO.0.A	COE1
COT1_HUMAN.H11MO.0.C	COT1
COT2_HUMAN.H11MO.0.A	COT2
CREB1_HUMAN.H11MO.0.A	CREB1
M08066_2.00	CREB1
MA0018.4	CREB1
CREM_HUMAN.H11MO.0.C	CREM
MA0609.2	CREM
CRX_HUMAN.H11MO.0.B	CRX
CTCF_HUMAN.H11MO.0.A	CTCF
M07862_2.00	CTCF
M07863_2.00	CTCF
M07864_2.00	CTCF
M07865_2.00	CTCF
M07866_2.00	CTCF
M07867_2.00	CTCF
M07868_2.00	CTCF
M07869_2.00	CTCF
M07870_2.00	CTCF
M07871_2.00	CTCF
M07872_2.00	CTCF
M07873_2.00	CTCF
M07874_2.00	CTCF
M07875_2.00	CTCF
M07876_2.00	CTCF
M07877_2.00	CTCF
M07878_2.00	CTCF
M07879_2.00	CTCF
M07880_2.00	CTCF
M07881_2.00	CTCF
M07882_2.00	CTCF
M07883_2.00	CTCF
M07884_2.00	CTCF
M07885_2.00	CTCF
M07886_2.00	CTCF
M07887_2.00	CTCF
M07888_2.00	CTCF
M07889_2.00	CTCF
M07890_2.00	CTCF
M07891_2.00	CTCF
M07892_2.00	CTCF
M07893_2.00	CTCF
M07894_2.00	CTCF
M07895_2.00	CTCF
M07896_2.00	CTCF
M07897_2.00	CTCF
M07898_2.00	CTCF
M07899_2.00	CTCF
M07900_2.00	CTCF
M07901_2.00	CTCF
M07902_2.00	CTCF
M07903_2.00	CTCF
M07904_2.00	CTCF
M07905_2.00	CTCF
M07906_2.00	CTCF
M07907_2.00	CTCF
M07908_2.00	CTCF
M07909_2.00	CTCF
M07910_2.00	CTCF
M07911_2.00	CTCF
M07912_2.00	CTCF
M07913_2.00	CTCF
M07914_2.00	CTCF
M07915_2.00	CTCF
M07916_2.00	CTCF
M07917_2.00	CTCF
M07918_2.00	CTCF
M07919_2.00	CTCF
M07920_2.00	CTCF
M07921_2.00	CTCF
M07922_2.00	CTCF
M07923_2.00	CTCF
M07924_2.00	CTCF
M07925_2.00	CTCF
M08087_2.00	CTCF
M08238_2.00	CTCF
M08289_2.00	CTCF
MA0139.1	CTCF
MA1929.1	CTCF
MA1930.1	CTCF
CTCFL_HUMAN.H11MO.0.A	CTCFL
M07930_2.00	CTCFL
M08089_2.00	CTCFL
MA1102.2	CTCFL
CUX1_HUMAN.H11MO.0.C	CUX1
DBP_HUMAN.H11MO.0.B	DBP
DLX3_HUMAN.H11MO.0.C	DLX3
DUX4_HUMAN.H11MO.0.A	DUX4
M08135_2.00	DUX4
MA0468.1	DUX4
E2F1_HUMAN.H11MO.0.A	E2F1
M07938_2.00	E2F1
E2F2_HUMAN.H11MO.0.B	E2F2
E2F3_HUMAN.H11MO.0.A	E2F3
E2F4_HUMAN.H11MO.0.A	E2F4
M07942_2.00	E2F4
M07943_2.00	E2F4
M08109_2.00	E2F4
E2F5_HUMAN.H11MO.0.B	E2F5
E2F6_HUMAN.H11MO.0.A	E2F6
M07939_2.00	E2F6
M07940_2.00	E2F6
M07941_2.00	E2F6
M08107_2.00	E2F6
MA0471.2	E2F6
E2F7_HUMAN.H11MO.0.B	E2F7
MA0154.4	EBF1
MA1637.1	EBF3
EGR1_HUMAN.H11MO.0.A	EGR1
M07927_2.00	EGR1
M07928_2.00	EGR1
M07929_2.00	EGR1
MA0162.4	EGR1
EGR2_HUMAN.H11MO.0.A	EGR2
M08302_2.00	EGR2
M08349_2.00	EGR3
EHF_HUMAN.H11MO.0.B	EHF
MA0598.3	EHF
ELF1_HUMAN.H11MO.0.A	ELF1
M07947_2.00	ELF1
M07948_2.00	ELF1
M07949_2.00	ELF1
M08198_2.00	ELF1
MA0473.3	ELF1
ELF2_HUMAN.H11MO.0.C	ELF2
ELF3_HUMAN.H11MO.0.A	ELF3
MA0640.2	ELF3
ELF5_HUMAN.H11MO.0.A	ELF5
ELK1_HUMAN.H11MO.0.B	ELK1
ELK4_HUMAN.H11MO.0.A	ELK4
M07957_2.00	ELK4
M07958_2.00	ELK4
M08112_2.00	ELK4
MA0076.2	ELK4
EPAS1_HUMAN.H11MO.0.B	EPAS1
ERG_HUMAN.H11MO.0.A	ERG
ERR1_HUMAN.H11MO.0.A	ERR1
ERR2_HUMAN.H11MO.0.A	ERR2
ERR3_HUMAN.H11MO.0.B	ERR3
ESR1_HUMAN.H11MO.0.A	ESR1
M07985_2.00	ESR1
M08217_2.00	ESR1
M08218_2.00	ESR1
ESR2_HUMAN.H11MO.0.A	ESR2
M08154_2.00	ESR2
MA0258.2	ESR2
M07988_2.00	ESRRA
M07989_2.00	ESRRA
MA0592.3	ESRRA
ETS1_HUMAN.H11MO.0.A	ETS1
M07950_2.00	ETS1
M07951_2.00	ETS1
ETS2_HUMAN.H11MO.0.B	ETS2
ETV1_HUMAN.H11MO.0.A	ETV1
MA0761.2	ETV1
ETV2_HUMAN.H11MO.0.B	ETV2
ETV4_HUMAN.H11MO.0.B	ETV4
ETV5_HUMAN.H11MO.0.C	ETV5
EVI1_HUMAN.H11MO.0.B	EVI1
MA0149.1	EWSR1-FLI1
FEV_HUMAN.H11MO.0.B	FEV
FEZF1_HUMAN.H11MO.0.C	FEZF1
M08307_2.00	FEZF1
FLI1_HUMAN.H11MO.0.A	FLI1
M08111_2.00	FLI1
FOS_HUMAN.H11MO.0.A	FOS
M07826_2.00	FOS
M07827_2.00	FOS
M07828_2.00	FOS
M08069_2.00	FOS
MA0476.1	FOS
FOSB_HUMAN.H11MO.0.A	FOSB
FOSL1_HUMAN.H11MO.0.A	FOSL1
M07833_2.00	FOSL1
M08071_2.00	FOSL1
MA0477.2	FOSL1
FOSL2_HUMAN.H11MO.0.A	FOSL2
M07812_2.00	FOSL2
M08064_2.00	FOSL2
MA0478.1	FOSL2
FOXA1_HUMAN.H11MO.0.A	FOXA1
M07960_2.00	FOXA1
M07961_2.00	FOXA1
M07962_2.00	FOXA1
M08028_2.00	FOXA1
M08117_2.00	FOXA1
M08199_2.00	FOXA1
MA0148.4	FOXA1
FOXA2_HUMAN.H11MO.0.A	FOXA2
M07959_2.00	FOXA2
MA0047.3	FOXA2
FOXA3_HUMAN.H11MO.0.B	FOXA3
MA1683.1	FOXA3
FOXC1_HUMAN.H11MO.0.C	FOXC1
FOXH1_HUMAN.H11MO.0.A	FOXH1
M08119_2.00	FOXH1
MA0479.1	FOXH1
FOXI1_HUMAN.H11MO.0.B	FOXI1
FOXJ2_HUMAN.H11MO.0.C	FOXJ2
FOXJ3_HUMAN.H11MO.0.A	FOXJ3
FOXK1_HUMAN.H11MO.0.A	FOXK1
M08120_2.00	FOXK1
MA0852.2	FOXK1
M08118_2.00	FOXK2
MA1103.2	FOXK2
FOXM1_HUMAN.H11MO.0.A	FOXM1
FOXO1_HUMAN.H11MO.0.A	FOXO1
FOXO3_HUMAN.H11MO.0.B	FOXO3
FOXO4_HUMAN.H11MO.0.C	FOXO4
FOXP1_HUMAN.H11MO.0.A	FOXP1
M08115_2.00	FOXP1
MA0481.3	FOXP1
FOXP2_HUMAN.H11MO.0.C	FOXP2
M08116_2.00	FOXP2
MA0593.1	FOXP2
FOXQ1_HUMAN.H11MO.0.C	FOXQ1
GABPA_HUMAN.H11MO.0.A	GABPA
M07952_2.00	GABPA
M07953_2.00	GABPA
M07954_2.00	GABPA
M07955_2.00	GABPA
M07956_2.00	GABPA
MA0062.3	GABPA
GATA1_HUMAN.H11MO.0.A	GATA1
M07963_2.00	GATA1
M07964_2.00	GATA1
M08202_2.00	GATA1
M08203_2.00	GATA1
MA0035.4	GATA1
MA0140.2	GATA1::TAL1
GATA2_HUMAN.H11MO.0.A	GATA2
M07966_2.00	GATA2
M07967_2.00	GATA2
M07968_2.00	GATA2
M07969_2.00	GATA2
M07970_2.00	GATA2
M08125_2.00	GATA2
MA0036.3	GATA2
GATA3_HUMAN.H11MO.0.A	GATA3
M07965_2.00	GATA3
GATA4_HUMAN.H11MO.0.A	GATA4
MA0482.2	GATA4
GATA6_HUMAN.H11MO.0.A	GATA6
M08124_2.00	GATA6
MA1104.2	GATA6
GCR_HUMAN.H11MO.0.A	GCR
GFI1_HUMAN.H11MO.0.C	GFI1
GFI1B_HUMAN.H11MO.0.A	GFI1B
GLI3_HUMAN.H11MO.0.B	GLI3
M08394_2.00	GLI4
M08345_2.00	GLIS1
GRHL2_HUMAN.H11MO.0.A	GRHL2
M08129_2.00	GRHL2
MA1105.2	GRHL2
M08301_2.00	GTF3A
MA1638.1	HAND2
HEN1_HUMAN.H11MO.0.C	HEN1
HIC1_HUMAN.H11MO.0.C	HIC1
HIF1A_HUMAN.H11MO.0.C	HIF1A
M08049_2.00	HIF1A
MA1106.1	HIF1A
HINFP_HUMAN.H11MO.0.C	HINFP
M07662_2.00	HKR1
HLF_HUMAN.H11MO.0.C	HLF
MA0043.3	HLF
HNF1A_HUMAN.H11MO.0.C	HNF1A
HNF1B_HUMAN.H11MO.0.A	HNF1B
HNF4A_HUMAN.H11MO.0.A	HNF4A
M08219_2.00	HNF4A
M08220_2.00	HNF4A
MA0114.4	HNF4A
HNF4G_HUMAN.H11MO.0.B	HNF4G
M08155_2.00	HNF4G
MA0484.2	HNF4G
HNF6_HUMAN.H11MO.0.B	HNF6
MA0901.2	HOXB13
HSF1_HUMAN.H11MO.0.A	HSF1
M07977_2.00	HSF1
HSF2_HUMAN.H11MO.0.A	HSF2
HTF4_HUMAN.H11MO.0.A	HTF4
HXA1_HUMAN.H11MO.0.C	HXA1
HXA10_HUMAN.H11MO.0.C	HXA10
HXA13_HUMAN.H11MO.0.C	HXA13
HXA9_HUMAN.H11MO.0.B	HXA9
HXB13_HUMAN.H11MO.0.A	HXB13
HXB4_HUMAN.H11MO.0.B	HXB4
HXB7_HUMAN.H11MO.0.C	HXB7
HXB8_HUMAN.H11MO.0.C	HXB8
HXC9_HUMAN.H11MO.0.C	HXC9
IKZF1_HUMAN.H11MO.0.C	IKZF1
MA1508.1	IKZF1
M08320_2.00	IKZF3
INSM1_HUMAN.H11MO.0.C	INSM1
